Название,Сеть,Адрес,Город,Оборудование в магазине,Статус поддержки,tClients,name_combined
118949,Теле-2,"г. Санкт-Петербург, пр-т Культуры, д.1, ТРК Родео Драйв",,118949_,Архивный,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",118 949
946405,Теле-2,"г. Санкт-Петербург, Прибрежная ул., д. 20",,946405_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",946 405
1068771,Теле-2,"г. Санкт-Петербург, Московский пр-т, д. 216 ",,1068771_ESL-SES,Архивный,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",1 068 771
1072254,Теле-2,"г. Санкт-Петербург, ул. Долгоозерная, д. 14к2, ТЦ_5_Озер - ",,1072254_ESL-SES,Архивный,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",1 072 254
907272,Теле-2,"г. Мурино, б-р Менделеева, д.1А",,907272_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",907 272
130056,Теле-2,"г. СПб, Большой пр.В.О. 68",,130056_ESL-ZKong,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",130 056
68861,Теле-2,"г. Санкт-Петербург, Московский, 2",,68861_ESL-ZKong,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",68 861
40398,Теле-2,"г. Колпино, ул. Октябрьская, д. 8 ",,40398_ESL-ZKong,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",40 398
10802,Теле-2,"г. Кронштадт, пр-т Ленина, д. 13.  Связь с Антоном",,10802_ESL-SES,На поддержке,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",10 802
36836,Теле-2,"г. Выборг, Ушакова 4 ",,36836_,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",36 836
129389,Теле-2,"Санкт-Петербург, улица Комсомола, 35",,129389_,Нет активной поддержки,"Санкт-Петербургский филиал ООО ""Т2 МОБАЙЛ""",129 389
137713,Теле-2,"г. Будённовск, ул. Октябрьская, д. 79 (ц. Рынок)",,137713_ESL-ZKong,На поддержке,"Ставропольский филиал ООО ""Т2 Мобайл""",137 713
142224,Теле-2,"г. Минеральные Воды, пр-т 22-го Партсъезда, д. 102 ТЦ Вершина",,142224_ESL-ZKong,На поддержке,"Ставропольский филиал ООО ""Т2 Мобайл""",142 224
137361,Теле-2,"г. Пятигорск, пр-т Кирова, д. 65, ТЦ Галерея",,137361_ESL-ZKong,На поддержке,"Ставропольский филиал ООО ""Т2 Мобайл""",137 361
144357,Теле-2,"г. Пятигоск,  ул. Ессентукская, д. 31а,  ТЦ Вершина Плаза",,144357_ESL-ZKong,На поддержке,"Ставропольский филиал ООО ""Т2 Мобайл""",144 357
137618,Теле-2,"г. Ставрополь, ул.Дзержинского, д. 131, ЦУМ",,137618_ESL-ZKong,На поддержке,"Ставропольский филиал ООО ""Т2 Мобайл""",137 618
142788,Теле-2,"г. Ставрополь, пр-т Карла Маркса, д. 53 ТЦ Европейский",,142788_ESL-ZKong,На поддержке,"Ставропольский филиал ООО ""Т2 Мобайл""",142 788
